thisN,thisTrialN,thisRepN,key_resp_3.keys,key_resp_4.keys,key_resp_3.rt,key_resp_3.duration,key_resp_4.rt,key_resp_4.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,lsl_stream.started,lsl_stream.stopped,setup.started,setup.stopped,welcome.started,welcomeimg.started,key_resp.started,welcome.stopped,key_resp.keys,key_resp.rt,key_resp.duration,instruction.started,instructionimg.started,key_resp_2.started,instruction.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,fixation.started,cross.started,cross.stopped,fixation.stopped,trigger,face.started,faceStim.started,key_resp_3.started,face.stopped,trials.key_resp_3.keys,break_2.started,break_2.stopped,trials.key_resp_4.keys,trials.key_resp_3.rt,trials.key_resp_3.duration,breakimg.started,break2img.started,key_resp_4.started,breakimg.stopped,trials.key_resp_4.rt,trials.key_resp_4.duration,end.started,finish.started,finish.stopped,end.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,0.011081899996497668,0.011176700005307794,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,001,2026-01-21_16h09.24.827,NESC3137_EEG_experiment,,2025.1.1,129.44078990021686,2026-01-21 16h11.31.220878 -0400,
,,,,,,,,,,,,,,,,,0.011204800000996329,0.011265799999819137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,001,2026-01-21_16h09.24.827,NESC3137_EEG_experiment,,2025.1.1,129.44078990021686,2026-01-21 16h11.31.220878 -0400,
,,,,,,,,,,,,,,,,,,,0.011332399997627363,0.016047700002673082,0.016047700002673082,3.728006400007871,space,3.5960596000077203,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,001,2026-01-21_16h09.24.827,NESC3137_EEG_experiment,,2025.1.1,129.44078990021686,2026-01-21 16h11.31.220878 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,3.7280624999984866,3.7316014999960316,3.7316014999960316,9.681225499996799,space,5.944877599991742,None,,,,,,,,,,,,,,,,,,,,,,,,,,001,001,2026-01-21_16h09.24.827,NESC3137_EEG_experiment,,2025.1.1,129.44078990021686,2026-01-21 16h11.31.220878 -0400,
0,0,0,None,None,,,,,0,0,0,0,9.68881340000371,,,,,,,,,,,,,,,,,,,,9.683662900002673,9.68881340000371,10.454111400002148,10.438180099998135,1,10.452059400005965,10.454111400002148,10.454111400002148,10.943127799997455,None,10.943189800003893,10.943233700003475,None,,,,,,,,,,,,,001,001,2026-01-21_16h09.24.827,NESC3137_EEG_experiment,,2025.1.1,129.44078990021686,2026-01-21 16h11.31.220878 -0400,
1,0,1,None,None,,,,,1,0,1,0,10.949538100001519,,,,,,,,,,,,,,,,,,,,10.943547400005627,10.949538100001519,11.750835200000438,11.734475699995528,2,11.747573600005126,11.750835200000438,11.750835200000438,12.239032299999963,None,12.239096400007838,12.239134799994645,None,,,,,,,,,,,,,001,001,2026-01-21_16h09.24.827,NESC3137_EEG_experiment,,2025.1.1,129.44078990021686,2026-01-21 16h11.31.220878 -0400,
2,0,2,None,None,,,,,2,0,2,0,12.245473100003437,,,,,,,,,,,,,,,,,,,,12.239336600003298,12.245473100003437,12.761538300008397,12.74599070000113,1,12.758914799997001,12.761538300008397,12.761538300008397,13.250044500004151,None,13.250115100003313,13.250141299999086,None,,,,,,,,,,,,,001,001,2026-01-21_16h09.24.827,NESC3137_EEG_experiment,,2025.1.1,129.44078990021686,2026-01-21 16h11.31.220878 -0400,
3,0,3,None,None,,,,,3,0,3,0,13.256700099998852,,,,,,,,,,,,,,,,,,,,13.250366299995221,13.256700099998852,14.085184800002025,14.069530000007944,1,14.08238330000313,14.085184800002025,14.085184800002025,14.573266300008981,None,14.573323200005689,14.573357600005693,None,,,,,,,,,,,,,001,001,2026-01-21_16h09.24.827,NESC3137_EEG_experiment,,2025.1.1,129.44078990021686,2026-01-21 16h11.31.220878 -0400,
4,0,4,None,None,,,,,4,0,4,0,14.580048600008013,,,,,,,,,,,,,,,,,,,,14.573571800006903,14.580048600008013,15.34704910000437,15.330338200001279,2,15.344499200000428,15.34704910000437,15.34704910000437,15.835665599995991,None,15.83572250000725,15.83575880000717,None,,,,,,,,,,,,,001,001,2026-01-21_16h09.24.827,NESC3137_EEG_experiment,,2025.1.1,129.44078990021686,2026-01-21 16h11.31.220878 -0400,
5,0,5,None,None,,,,,5,0,5,0,15.842179700004635,,,,,,,,,,,,,,,,,,,,15.835955899994588,15.842179700004635,16.60258099999919,16.58544910000637,1,16.598592099995585,16.60258099999919,16.60258099999919,17.090991599994595,None,17.091059700003825,17.09109709999757,None,,,,,,,,,,,,,001,001,2026-01-21_16h09.24.827,NESC3137_EEG_experiment,,2025.1.1,129.44078990021686,2026-01-21 16h11.31.220878 -0400,
6,0,6,up,None,0.2552793999930145,None,,,6,0,6,0,17.097755900002085,,,,,,,,,,,,,,,,,,,,17.091310100004193,17.097755900002085,17.82885130000068,17.813257100002375,2,17.827054199995473,17.82885130000068,17.82885130000068,18.317396800004644,up,18.317462200007867,18.317497199997888,None,0.2552793999930145,None,,,,,,,,,,,001,001,2026-01-21_16h09.24.827,NESC3137_EEG_experiment,,2025.1.1,129.44078990021686,2026-01-21 16h11.31.220878 -0400,
7,0,7,None,None,,,,,7,0,7,0,18.32414670000435,,,,,,,,,,,,,,,,,,,,18.317674699996132,18.32414670000435,19.29183109999576,19.276138700006413,1,19.288795300002676,19.29183109999576,19.29183109999576,19.780231099997764,None,19.78028790000826,19.780322399994475,None,,,,,,,,,,,,,001,001,2026-01-21_16h09.24.827,NESC3137_EEG_experiment,,2025.1.1,129.44078990021686,2026-01-21 16h11.31.220878 -0400,
8,0,8,up,None,0.2730851999949664,0.07998059999954421,,,8,0,8,0,19.7870641000045,,,,,,,,,,,,,,,,,,,,19.78049820000888,19.7870641000045,20.75507220000145,20.73908480000682,1,20.752724899997702,20.75507220000145,20.75507220000145,21.243688600006863,up,21.243774600006873,21.243833200001973,None,0.2730851999949664,0.07998059999954421,,,,,,,,,,,001,001,2026-01-21_16h09.24.827,NESC3137_EEG_experiment,,2025.1.1,129.44078990021686,2026-01-21 16h11.31.220878 -0400,
9,0,9,None,None,,,,,9,0,9,0,21.250289600007818,,,,,,,,,,,,,,,,,,,,21.2440612000064,21.250289600007818,21.793555399999605,21.778662099997746,2,21.791614000001573,21.793555399999605,21.793555399999605,22.281879800008028,None,22.281924700000673,22.28195030000643,None,,,,,,,,,,,,,001,001,2026-01-21_16h09.24.827,NESC3137_EEG_experiment,,2025.1.1,129.44078990021686,2026-01-21 16h11.31.220878 -0400,
10,0,10,up,None,0.43937089999963064,None,,,10,0,10,0,22.28849999999511,,,,,,,,,,,,,,,,,,,,22.282090100008645,22.28849999999511,23.012729499998386,22.997528499996406,1,23.00982790000853,23.012729499998386,23.012729499998386,23.500318999998854,up,23.500367900007404,23.500390400004108,None,0.43937089999963064,None,,,,,,,,,,,001,001,2026-01-21_16h09.24.827,NESC3137_EEG_experiment,,2025.1.1,129.44078990021686,2026-01-21 16h11.31.220878 -0400,
11,0,11,down,None,0.4301121000025887,None,,,11,0,11,0,23.507493299999624,,,,,,,,,,,,,,,,,,,,23.500562300003367,23.507493299999624,24.07795960000658,24.063305400006357,2,24.076001699999324,24.07795960000658,24.07795960000658,24.565989299997455,down,24.566056600000593,24.566094699999667,None,0.4301121000025887,None,,,,,,,,,,,001,001,2026-01-21_16h09.24.827,NESC3137_EEG_experiment,,2025.1.1,129.44078990021686,2026-01-21 16h11.31.220878 -0400,
