thisN,thisTrialN,thisRepN,key_resp_3.keys,key_resp_4.keys,key_resp_3.rt,key_resp_3.duration,key_resp_4.rt,key_resp_4.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,lsl_stream.started,lsl_stream.stopped,setup.started,setup.stopped,welcome.started,welcomeimg.started,key_resp.started,welcome.stopped,key_resp.keys,key_resp.rt,key_resp.duration,instruction.started,instructionimg.started,key_resp_2.started,instruction.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,fixation.started,cross.started,cross.stopped,fixation.stopped,trigger,face.started,faceStim.started,key_resp_3.started,face.stopped,trials.key_resp_3.keys,break_2.started,break_2.stopped,trials.key_resp_4.keys,trials.key_resp_3.rt,trials.key_resp_3.duration,faceStim.stopped,key_resp_3.stopped,breakimg.started,break2img.started,key_resp_4.started,breakimg.stopped,trials.key_resp_4.rt,trials.key_resp_4.duration,end.started,finish.started,finish.stopped,end.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,0.009399099999995997,0.00945990000002439,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,002,001,2026-01-21_16h24.17.410,NESC3137_EEG_experiment,,2025.1.1,143.14650328877173,2026-01-21 16h24.39.611710 -0400,
,,,,,,,,,,,,,,,,,0.00947499999995216,0.009491499999967346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,002,001,2026-01-21_16h24.17.410,NESC3137_EEG_experiment,,2025.1.1,143.14650328877173,2026-01-21 16h24.39.611710 -0400,
,,,,,,,,,,,,,,,,,,,0.009531899999956295,0.01667409999993197,0.01667409999993197,11.266636699999935,space,11.152543199999968,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,002,001,2026-01-21_16h24.17.410,NESC3137_EEG_experiment,,2025.1.1,143.14650328877173,2026-01-21 16h24.39.611710 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,11.266690599999947,11.27086589999999,11.27086589999999,17.71286580000003,space,6.434610000000021,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,002,001,2026-01-21_16h24.17.410,NESC3137_EEG_experiment,,2025.1.1,143.14650328877173,2026-01-21 16h24.39.611710 -0400,
0,0,0,None,None,,,,,0,0,0,0,17.718397799999934,,,,,,,,,,,,,,,,,,,,17.714704900000015,17.718397799999934,18.537413499999957,18.510202999999933,2,18.533102499999927,18.537413499999957,18.537413499999957,19.011784000000034,None,19.01182349999999,19.01184379999995,None,,,,,,,,,,,,,,,002,001,2026-01-21_16h24.17.410,NESC3137_EEG_experiment,,2025.1.1,143.14650328877173,2026-01-21 16h24.39.611710 -0400,
1,0,1,None,None,,,,,1,0,1,0,19.01964579999992,,,,,,,,,,,,,,,,,,,,19.0119598,19.01964579999992,19.84901119999995,19.81753219999996,2,19.84693279999999,19.84901119999995,19.84901119999995,20.322946499999944,None,20.32298639999999,20.32301259999997,None,,,,,,,,,,,,,,,002,001,2026-01-21_16h24.17.410,NESC3137_EEG_experiment,,2025.1.1,143.14650328877173,2026-01-21 16h24.39.611710 -0400,
2,0,2,up,None,0.42306470000005447,None,,,2,0,2,0,20.330023299999993,,,,,,,,,,,,,,,,,,,,20.323126499999944,20.330023299999993,21.138227400000005,21.121635500000025,1,21.136192199999982,21.138227400000005,21.138227400000005,21.62649090000002,up,21.626533999999992,21.626549899999986,None,0.42306470000005447,None,,,,,,,,,,,,,002,001,2026-01-21_16h24.17.410,NESC3137_EEG_experiment,,2025.1.1,143.14650328877173,2026-01-21 16h24.39.611710 -0400,
3,0,3,down,None,0.3370397999999568,0.13581980000003568,,,3,0,3,0,21.633848100000023,,,,,,,,,,,,,,,,,,,,21.626666799999953,21.633848100000023,22.184378100000004,22.16834849999998,2,22.182565899999986,22.184378100000004,22.184378100000004,22.674122199999942,down,22.6741667,22.67418509999993,None,0.3370397999999568,0.13581980000003568,,,,,,,,,,,,,002,001,2026-01-21_16h24.17.410,NESC3137_EEG_experiment,,2025.1.1,143.14650328877173,2026-01-21 16h24.39.611710 -0400,
4,0,4,up,None,0.3692451000000574,None,,,4,0,4,0,22.68029530000001,,,,,,,,,,,,,,,,,,,,22.67437970000003,22.68029530000001,23.48803529999998,23.464518999999996,1,23.485896599999933,23.48803529999998,23.48803529999998,23.967385299999933,up,23.96743259999994,23.967450600000006,None,0.3692451000000574,None,,,,,,,,,,,,,002,001,2026-01-21_16h24.17.410,NESC3137_EEG_experiment,,2025.1.1,143.14650328877173,2026-01-21 16h24.39.611710 -0400,
5,0,5,down,None,0.27873030000000654,0.12801259999991998,,,5,0,5,0,23.973427000000015,,,,,,,,,,,,,,,,,,,,23.96758299999999,23.973427000000015,24.52245479999999,24.501187999999956,1,24.51991190000001,24.52245479999999,24.52245479999999,25.00257220000003,down,25.00263199999995,25.00266399999998,None,0.27873030000000654,0.12801259999991998,,,,,,,,,,,,,002,001,2026-01-21_16h24.17.410,NESC3137_EEG_experiment,,2025.1.1,143.14650328877173,2026-01-21 16h24.39.611710 -0400,
6,0,6,up,None,0.4391891000000214,None,,,6,0,6,0,25.010275999999976,,,,,,,,,,,,,,,,,,,,25.00283289999993,25.010275999999976,25.754046099999982,25.731267600000024,1,25.751252000000022,25.754046099999982,25.754046099999982,26.232908299999963,up,26.232951099999923,26.23297589999993,None,0.4391891000000214,None,,,,,,,,,,,,,002,001,2026-01-21_16h24.17.410,NESC3137_EEG_experiment,,2025.1.1,143.14650328877173,2026-01-21 16h24.39.611710 -0400,
7,0,7,up,None,0.40628239999989546,None,,,7,0,7,0,26.239868,,,,,,,,,,,,,,,,,,,,26.23308810000003,26.239868,27.074932699999977,27.05959539999992,1,27.072658299999944,27.074932699999977,27.074932699999977,27.56276589999993,up,27.562826599999994,27.56285719999994,None,0.40628239999989546,None,,,,,,,,,,,,,002,001,2026-01-21_16h24.17.410,NESC3137_EEG_experiment,,2025.1.1,143.14650328877173,2026-01-21 16h24.39.611710 -0400,
8,0,8,down,None,0.3438744999999699,None,,,8,0,8,0,27.569359200000008,,,,,,,,,,,,,,,,,,,,27.563003799999933,27.569359200000008,28.481401699999992,28.45352779999996,2,28.4791874,28.481401699999992,28.481401699999992,28.956122299999947,down,28.9561731,28.95619099999999,None,0.3438744999999699,None,,,,,,,,,,,,,002,001,2026-01-21_16h24.17.410,NESC3137_EEG_experiment,,2025.1.1,143.14650328877173,2026-01-21 16h24.39.611710 -0400,
9,0,9,up,None,0.33732150000003003,None,,,9,0,9,0,28.962159799999995,,,,,,,,,,,,,,,,,,,,28.956305499999985,28.962159799999995,29.75988099999995,29.72139709999999,1,29.758004700000015,29.75988099999995,29.75988099999995,30.228493500000013,up,30.228548899999964,30.228566799999953,None,0.33732150000003003,None,,,,,,,,,,,,,002,001,2026-01-21_16h24.17.410,NESC3137_EEG_experiment,,2025.1.1,143.14650328877173,2026-01-21 16h24.39.611710 -0400,
