thisN,thisTrialN,thisRepN,key_resp_3.keys,key_resp_4.keys,key_resp_3.rt,key_resp_3.duration,key_resp_4.rt,key_resp_4.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,lsl_stream.started,lsl_stream.stopped,setup.started,setup.stopped,welcome.started,welcomeimg.started,key_resp.started,welcome.stopped,key_resp.keys,key_resp.rt,key_resp.duration,instruction.started,instructionimg.started,key_resp_2.started,instruction.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,fixation.started,cross.started,cross.stopped,fixation.stopped,trigger,face.started,faceStim.started,key_resp_3.started,faceStim.stopped,key_resp_3.stopped,face.stopped,trials.key_resp_3.keys,break_2.started,break_2.stopped,trials.key_resp_4.keys,trials.key_resp_3.rt,trials.key_resp_3.duration,breakimg.started,breakimg.stopped,break2img.started,key_resp_4.started,trials.key_resp_4.rt,trials.key_resp_4.duration,end.started,finish.started,finish.stopped,end.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,0.010600600013276562,0.01068900000245776,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,004,001,2026-01-21_16h49.36.689,NESC3137_EEG_experiment,,2025.1.1,130.58478478756987,2026-01-21 16h49.55.785297 -0400,
,,,,,,,,,,,,,,,,,0.010716400007368065,0.010753300011856481,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,004,001,2026-01-21_16h49.36.689,NESC3137_EEG_experiment,,2025.1.1,130.58478478756987,2026-01-21 16h49.55.785297 -0400,
,,,,,,,,,,,,,,,,,,,0.010830400002305396,0.014309800011687912,0.014309800011687912,3.2967418000043835,space,3.276103399999556,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,004,001,2026-01-21_16h49.36.689,NESC3137_EEG_experiment,,2025.1.1,130.58478478756987,2026-01-21 16h49.55.785297 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,3.296775800001342,3.3006607000133954,3.3006607000133954,16.84355940000387,space,13.541590200009523,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,004,001,2026-01-21_16h49.36.689,NESC3137_EEG_experiment,,2025.1.1,130.58478478756987,2026-01-21 16h49.55.785297 -0400,
0,0,0,None,None,,,,,0,0,0,0,16.84983400000783,,,,,,,,,,,,,,,,,,,,16.846016200011945,16.84983400000783,17.689955400011968,17.684325500013074,2,17.68636730000435,17.689955400011968,17.689955400011968,18.18381020000379,18.18381020000379,18.176430999999866,None,18.176476800013916,18.176507300013327,None,,,,,,,,,,,,,004,001,2026-01-21_16h49.36.689,NESC3137_EEG_experiment,,2025.1.1,130.58478478756987,2026-01-21 16h49.55.785297 -0400,
1,0,1,down,None,0.4766586999903666,None,,,1,0,1,0,18.18381020000379,,,,,,,,,,,,,,,,,,,,18.17667510001047,18.18381020000379,19.03745040000649,19.031016700013424,2,19.033210200010217,19.03745040000649,19.03745040000649,19.53125650000584,19.53125650000584,19.524291600013385,down,19.524344100005692,19.52437220000138,None,0.4766586999903666,None,,,,,,,,,,,004,001,2026-01-21_16h49.36.689,NESC3137_EEG_experiment,,2025.1.1,130.58478478756987,2026-01-21 16h49.55.785297 -0400,
2,0,2,down,None,0.35619340000266675,0.11207109999668319,,,2,0,2,0,19.53125650000584,,,,,,,,,,,,,,,,,,,,19.524539800011553,19.53125650000584,20.405949500011047,20.39936540000781,2,20.401829500013264,20.405949500011047,20.405949500011047,20.899198900006013,20.899198900006013,20.892620600003283,down,20.892680900011328,20.892708100000164,None,0.35619340000266675,0.11207109999668319,,,,,,,,,,,004,001,2026-01-21_16h49.36.689,NESC3137_EEG_experiment,,2025.1.1,130.58478478756987,2026-01-21 16h49.55.785297 -0400,
3,0,3,None,None,,,,,3,0,3,0,20.899198900006013,,,,,,,,,,,,,,,,,,,,20.89287460000196,20.899198900006013,21.773970700000064,21.767975599999772,1,21.770363400006318,21.773970700000064,21.773970700000064,22.267659900011495,22.267659900011495,22.26071140001295,None,22.260762300007627,22.26079300000856,None,,,,,,,,,,,,,004,001,2026-01-21_16h49.36.689,NESC3137_EEG_experiment,,2025.1.1,130.58478478756987,2026-01-21 16h49.55.785297 -0400,
4,0,4,down,None,0.4322532000078354,None,,,4,0,4,0,22.267659900011495,,,,,,,,,,,,,,,,,,,,22.26098640001146,22.267659900011495,23.065952400007518,23.059104200001457,2,23.06135390000418,23.065952400007518,23.065952400007518,23.559572500002105,23.559572500002105,23.55248960001336,down,23.552550700012944,23.552571000007447,None,0.4322532000078354,None,,,,,,,,,,,004,001,2026-01-21_16h49.36.689,NESC3137_EEG_experiment,,2025.1.1,130.58478478756987,2026-01-21 16h49.55.785297 -0400,
5,0,5,up,None,0.3868171999929473,None,,,5,0,5,0,23.559572500002105,,,,,,,,,,,,,,,,,,,,23.55273350000789,23.559572500002105,24.08759990001272,24.080140700010816,1,24.082599400004256,24.08759990001272,24.08759990001272,24.580524800010608,24.580524800010608,24.574107100008405,up,24.574164300007396,24.574193899999955,None,0.3868171999929473,None,,,,,,,,,,,004,001,2026-01-21_16h49.36.689,NESC3137_EEG_experiment,,2025.1.1,130.58478478756987,2026-01-21 16h49.55.785297 -0400,
