thisN,thisTrialN,thisRepN,key_resp_3.keys,key_resp_4.keys,key_resp_3.rt,key_resp_3.duration,key_resp_4.rt,key_resp_4.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,lsl_stream.started,lsl_stream.stopped,setup.started,setup.stopped,welcome.started,welcomeimg.started,key_resp.started,welcome.stopped,key_resp.keys,key_resp.rt,key_resp.duration,instruction.started,instructionimg.started,key_resp_2.started,instruction.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,fixation.started,cross.started,cross.stopped,fixation.stopped,trigger,face.started,faceStim.started,key_resp_3.started,faceStim.stopped,key_resp_3.stopped,face.stopped,trials.key_resp_3.keys,break_2.started,break_2.stopped,trials.key_resp_4.keys,trials.key_resp_3.rt,trials.key_resp_3.duration,breakimg.started,breakimg.stopped,break2img.started,key_resp_4.started,trials.key_resp_4.rt,trials.key_resp_4.duration,end.started,finish.started,end.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,0.009916299999531475,0.009998399998949026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-008,001,2026-01-28_17h17.09.558,NESC3137_EEG_experiment,,2025.1.1,60.15138901627077,2026-01-28 17h17.26.597412 -0400,
,,,,,,,,,,,,,,,,,0.01002639999933308,0.010062199999083532,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-008,001,2026-01-28_17h17.09.558,NESC3137_EEG_experiment,,2025.1.1,60.15138901627077,2026-01-28 17h17.26.597412 -0400,
,,,,,,,,,,,,,,,,,,,0.010152400000151829,0.02527410000038799,0.02527410000038799,5.61289989999932,space,5.567499400000088,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-008,001,2026-01-28_17h17.09.558,NESC3137_EEG_experiment,,2025.1.1,60.15138901627077,2026-01-28 17h17.26.597412 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,5.612989299999754,5.6261768999993365,5.6261768999993365,9.692329499999687,space,4.054205500000535,None,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-008,001,2026-01-28_17h17.09.558,NESC3137_EEG_experiment,,2025.1.1,60.15138901627077,2026-01-28 17h17.26.597412 -0400,
0,0,0,None,None,,,,,0,0,0,0,9.70904630000041,,,,,,,,,,,,,,,,,,,,9.69390889999886,9.70904630000041,10.641788400000223,10.625639500000034,1,10.62908520000019,10.641788400000223,10.641788400000223,11.142440499999793,11.142440499999793,11.125584899999012,None,11.12563769999906,11.12567659999877,None,,,,,,,,,,,,sub-008,001,2026-01-28_17h17.09.558,NESC3137_EEG_experiment,,2025.1.1,60.15138901627077,2026-01-28 17h17.26.597412 -0400,
1,0,1,up,None,0.3706891000001633,None,,,1,0,1,0,11.142440499999793,,,,,,,,,,,,,,,,,,,,11.125861099999383,11.142440499999793,11.725836399999025,11.708964800000103,1,11.711745200000223,11.725836399999025,11.725836399999025,,,12.209112999998979,up,12.209186099998988,12.209223699999711,None,0.3706891000001633,None,,,,,,,,,,sub-008,001,2026-01-28_17h17.09.558,NESC3137_EEG_experiment,,2025.1.1,60.15138901627077,2026-01-28 17h17.26.597412 -0400,
2,0,2,None,None,,,,,2,0,2,0,12.225500599999577,,,,,,,,,,,,,,,,,,,,12.209445899999992,12.225500599999577,13.19200710000041,13.175291300000026,2,13.177647200000138,13.19200710000041,13.19200710000041,,,13.676202700000431,None,13.676266799999212,13.676294400000188,None,,,,,,,,,,,,sub-008,001,2026-01-28_17h17.09.558,NESC3137_EEG_experiment,,2025.1.1,60.15138901627077,2026-01-28 17h17.26.597412 -0400,
3,0,3,up,None,0.37941310000132944,None,,,3,0,3,0,13.69253690000005,,,,,,,,,,,,,,,,,,,,13.676500499999747,13.69253690000005,14.309052799999336,14.291868700000123,1,14.294420099999115,14.309052799999336,14.309052799999336,,,14.792733999998745,up,14.79278929999964,14.792810999999347,None,0.37941310000132944,None,,,,,,,,,,sub-008,001,2026-01-28_17h17.09.558,NESC3137_EEG_experiment,,2025.1.1,60.15138901627077,2026-01-28 17h17.26.597412 -0400,
4,0,4,up,None,0.33721179999884043,None,,,4,0,4,0,14.809091699999044,,,,,,,,,,,,,,,,,,,,14.79295970000021,14.809091699999044,15.375647999999273,15.35877419999997,1,15.360915899998872,15.375647999999273,15.375647999999273,,,15.859259199998633,up,15.859311799998977,15.859332199999699,None,0.33721179999884043,None,,,,,,,,,,sub-008,001,2026-01-28_17h17.09.558,NESC3137_EEG_experiment,,2025.1.1,60.15138901627077,2026-01-28 17h17.26.597412 -0400,
5,0,5,down,None,0.4165893999997934,None,,,5,0,5,0,15.875746800000343,,,,,,,,,,,,,,,,,,,,15.859473200000139,15.875746800000343,16.7759145,16.759120799999437,2,16.761613099999522,16.7759145,16.7759145,17.275022499999977,17.275022499999977,17.258840399999826,down,17.258902300000045,17.258930599999076,None,0.4165893999997934,None,,,,,,,,,,sub-008,001,2026-01-28_17h17.09.558,NESC3137_EEG_experiment,,2025.1.1,60.15138901627077,2026-01-28 17h17.26.597412 -0400,
