thisN,thisTrialN,thisRepN,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,lsl_stream.started,lsl_stream.stopped,setup.started,setup.stopped,welcome.started,welcomeimg.started,key_resp.started,welcome.stopped,key_resp.keys,key_resp.rt,key_resp.duration,instruction.started,instructionimg.started,key_resp_2.started,instruction.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,fixation.started,cross.started,cross.stopped,fixation.stopped,trigger,face.started,faceStim.started,key_resp_3.started,faceStim.stopped,key_resp_3.stopped,face.stopped,trials.key_resp_3.keys,trials.key_resp_3.rt,trials.key_resp_3.duration,break_2.started,break_2.stopped,trials.key_resp_4.keys,breakimg.started,breakimg.stopped,break2img.started,key_resp_4.started,trials.key_resp_4.rt,trials.key_resp_4.duration,end.started,finish.started,finish.stopped,end.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,0.010081499999614607,0.010166299999582407,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,009,001,2026-01-28_16h46.59.885,NESC3137_EEG_experiment,,2025.1.1,144.99751329138323,2026-01-28 16h47.25.810031 -0400,
,,,,,,,,,,,,,,,,,0.01019670000005135,0.010231799999928626,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,009,001,2026-01-28_16h46.59.885,NESC3137_EEG_experiment,,2025.1.1,144.99751329138323,2026-01-28 16h47.25.810031 -0400,
,,,,,,,,,,,,,,,,,,,0.010274100000060571,0.012442600000213133,0.012442600000213133,4.324891100000059,space,4.306692499999372,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,009,001,2026-01-28_16h46.59.885,NESC3137_EEG_experiment,,2025.1.1,144.99751329138323,2026-01-28 16h47.25.810031 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,4.3249234000004435,4.328933800000414,4.328933800000414,8.947519399999692,space,4.614042600000175,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,009,001,2026-01-28_16h46.59.885,NESC3137_EEG_experiment,,2025.1.1,144.99751329138323,2026-01-28 16h47.25.810031 -0400,
0,0,0,down,0.45185720000063156,None,None,,,0,0,0,0,8.954679800000122,,,,,,,,,,,,,,,,,,,,8.948887200000172,8.954679800000122,9.635139699999854,9.627645700000357,2,9.629358700000012,9.635139699999854,9.635139699999854,10.127698100000089,10.127698100000089,10.12092339999981,down,0.45185720000063156,None,10.120964300000196,10.12098109999988,None,,,,,,,,,,,009,001,2026-01-28_16h46.59.885,NESC3137_EEG_experiment,,2025.1.1,144.99751329138323,2026-01-28 16h47.25.810031 -0400,
1,0,1,up,0.4015679000003729,None,None,,,1,0,1,0,10.127698100000089,,,,,,,,,,,,,,,,,,,,10.121080799999618,10.127698100000089,10.829483800000162,10.822353399999884,1,10.824365999999827,10.829483800000162,10.829483800000162,11.322704199999862,11.322704199999862,11.315632200000437,up,0.4015679000003729,None,11.315686599999935,11.315717399999812,None,,,,,,,,,,,009,001,2026-01-28_16h46.59.885,NESC3137_EEG_experiment,,2025.1.1,144.99751329138323,2026-01-28 16h47.25.810031 -0400,
2,0,2,down,0.4070087000000058,None,None,,,2,0,2,0,11.322704199999862,,,,,,,,,,,,,,,,,,,,11.315884300000107,11.322704199999862,12.232062500000211,12.226742900000318,2,12.22869559999981,12.232062500000211,12.232062500000211,12.72518620000028,12.72518620000028,12.720164299999851,down,0.4070087000000058,None,12.720204199999898,12.720221100000344,None,,,,,,,,,,,009,001,2026-01-28_16h46.59.885,NESC3137_EEG_experiment,,2025.1.1,144.99751329138323,2026-01-28 16h47.25.810031 -0400,
3,0,3,up,0.35858379999990575,0.10399109999980283,None,,,3,0,3,0,12.72518620000028,,,,,,,,,,,,,,,,,,,,12.720362799999748,12.72518620000028,13.600408100000095,13.59397059999992,1,13.595854700000018,13.600408100000095,13.600408100000095,14.093301199999587,14.093301199999587,14.087024800000108,up,0.35858379999990575,0.10399109999980283,14.087072299999818,14.087088500000391,None,,,,,,,,,,,009,001,2026-01-28_16h46.59.885,NESC3137_EEG_experiment,,2025.1.1,144.99751329138323,2026-01-28 16h47.25.810031 -0400,
4,0,4,up,0.3317349999997532,0.11212370000066585,None,,,4,0,4,0,14.093301199999587,,,,,,,,,,,,,,,,,,,,14.087212800000088,14.093301199999587,15.059531799999604,15.052110900000116,1,15.053738300000077,15.059531799999604,15.059531799999604,15.551927999999862,15.551927999999862,15.545139200000449,up,0.3317349999997532,0.11212370000066585,15.545191000000159,15.545218700000078,None,,,,,,,,,,,009,001,2026-01-28_16h46.59.885,NESC3137_EEG_experiment,,2025.1.1,144.99751329138323,2026-01-28 16h47.25.810031 -0400,
5,0,5,down,0.4605559000001449,None,None,,,5,0,5,0,15.551927999999862,,,,,,,,,,,,,,,,,,,,15.545377700000245,15.551927999999862,16.074448700000175,16.066079799999898,2,16.067570199999864,16.074448700000175,16.074448700000175,16.56604890000017,16.56604890000017,16.55907219999972,down,0.4605559000001449,None,16.559113299999808,16.559128099999725,None,,,,,,,,,,,009,001,2026-01-28_16h46.59.885,NESC3137_EEG_experiment,,2025.1.1,144.99751329138323,2026-01-28 16h47.25.810031 -0400,
