thisN,thisTrialN,thisRepN,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,lsl_stream.started,lsl_stream.stopped,setup.started,setup.stopped,welcome.started,welcomeimg.started,key_resp.started,welcome.stopped,key_resp.keys,key_resp.rt,key_resp.duration,instruction.started,instructionimg.started,key_resp_2.started,instruction.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,fixation.started,cross.started,cross.stopped,fixation.stopped,trigger,face.started,faceStim.started,key_resp_3.started,faceStim.stopped,key_resp_3.stopped,face.stopped,trials.key_resp_3.keys,trials.key_resp_3.rt,trials.key_resp_3.duration,break_2.started,break_2.stopped,trials.key_resp_4.keys,breakimg.started,break2img.started,key_resp_4.started,breakimg.stopped,trials.key_resp_4.rt,trials.key_resp_4.duration,end.started,finish.started,end.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,0.011558399999557878,0.011619799999607494,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,009,001,2026-01-28_16h35.35.762,NESC3137_EEG_experiment,,2025.1.1,60.04934855465826,2026-01-28 16h36.01.195585 -0400,
,,,,,,,,,,,,,,,,,0.011637099999461498,0.011657899999590882,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,009,001,2026-01-28_16h35.35.762,NESC3137_EEG_experiment,,2025.1.1,60.04934855465826,2026-01-28 16h36.01.195585 -0400,
,,,,,,,,,,,,,,,,,,,0.01171040000008361,0.014525900000080583,0.014525900000080583,8.384178599999359,space,8.351546699999744,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,009,001,2026-01-28_16h35.35.762,NESC3137_EEG_experiment,,2025.1.1,60.04934855465826,2026-01-28 16h36.01.195585 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,8.384223899999597,8.39808660000017,8.39808660000017,16.69843260000016,space,8.29596439999932,None,,,,,,,,,,,,,,,,,,,,,,,,,,,009,001,2026-01-28_16h35.35.762,NESC3137_EEG_experiment,,2025.1.1,60.04934855465826,2026-01-28 16h36.01.195585 -0400,
0,0,0,up,0.3658134000006612,None,None,,,0,0,0,0,16.714490599999408,,,,,,,,,,,,,,,,,,,,16.70043059999989,16.714490599999408,17.264237899999898,17.248080299999856,1,17.250126899999486,17.264237899999898,17.264237899999898,17.763950800000202,17.763950800000202,17.748100899999372,up,0.3658134000006612,None,17.748166100000162,17.74820869999985,None,,,,,,,,,,009,001,2026-01-28_16h35.35.762,NESC3137_EEG_experiment,,2025.1.1,60.04934855465826,2026-01-28 16h36.01.195585 -0400,
1,0,1,down,0.4351579000003767,None,None,,,1,0,1,0,17.763950800000202,,,,,,,,,,,,,,,,,,,,17.7484072999996,17.763950800000202,18.33095409999987,18.314339499999733,2,18.31720099999984,18.33095409999987,18.33095409999987,18.831072899999526,18.831072899999526,18.814427100000103,down,0.4351579000003767,None,18.81448829999954,18.814520599999923,None,,,,,,,,,,009,001,2026-01-28_16h35.35.762,NESC3137_EEG_experiment,,2025.1.1,60.04934855465826,2026-01-28 16h36.01.195585 -0400,
2,0,2,None,,,None,,,2,0,2,0,18.831072899999526,,,,,,,,,,,,,,,,,,,,18.814712499999587,18.831072899999526,19.531171099999483,19.51498999999967,2,19.51744679999956,19.531171099999483,19.531171099999483,20.0305472,20.0305472,20.01463059999969,None,,,20.01468179999938,20.014713599999595,None,,,,,,,,,,009,001,2026-01-28_16h35.35.762,NESC3137_EEG_experiment,,2025.1.1,60.04934855465826,2026-01-28 16h36.01.195585 -0400,
3,0,3,down,0.38835000000017317,None,None,,,3,0,3,0,20.0305472,,,,,,,,,,,,,,,,,,,,20.014897199999723,20.0305472,20.897603499999605,20.88162310000007,2,20.8836553000001,20.897603499999605,20.897603499999605,21.397781499999837,21.397781499999837,21.381592799999453,down,0.38835000000017317,None,21.381634200000008,21.381651699999566,None,,,,,,,,,,009,001,2026-01-28_16h35.35.762,NESC3137_EEG_experiment,,2025.1.1,60.04934855465826,2026-01-28 16h36.01.195585 -0400,
4,0,4,down,0.40254749999985506,None,None,,,4,0,4,0,21.397781499999837,,,,,,,,,,,,,,,,,,,,21.381774999999834,21.397781499999837,21.931387799999357,21.914906699999847,2,21.91708159999962,21.931387799999357,21.931387799999357,22.431158599999435,22.431158599999435,22.414606399999684,down,0.40254749999985506,None,22.414646499999435,22.41466429999946,None,,,,,,,,,,009,001,2026-01-28_16h35.35.762,NESC3137_EEG_experiment,,2025.1.1,60.04934855465826,2026-01-28 16h36.01.195585 -0400,
5,0,5,None,,,None,,,5,0,5,0,22.431158599999435,,,,,,,,,,,,,,,,,,,,22.414782799999557,22.431158599999435,23.347714300000007,23.331376299999647,1,23.333650699999453,23.347714300000007,23.347714300000007,,,23.831606499999907,None,,,23.83166639999945,23.831699399999707,None,,,,,,,,,,009,001,2026-01-28_16h35.35.762,NESC3137_EEG_experiment,,2025.1.1,60.04934855465826,2026-01-28 16h36.01.195585 -0400,
