thisN,thisTrialN,thisRepN,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,lsl_stream.started,lsl_stream.stopped,setup.started,setup.stopped,welcome.started,welcomeimg.started,key_resp.started,welcome.stopped,key_resp.keys,key_resp.rt,key_resp.duration,instruction.started,instructionimg.started,key_resp_2.started,instruction.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,fixation.started,cross.started,cross.stopped,fixation.stopped,trigger,face.started,faceStim.started,key_resp_3.started,faceStim.stopped,key_resp_3.stopped,face.stopped,trials.key_resp_3.keys,trials.key_resp_3.rt,trials.key_resp_3.duration,break_2.started,break_2.stopped,trials.key_resp_4.keys,breakimg.started,breakimg.stopped,break2img.started,key_resp_4.started,trials.key_resp_4.rt,trials.key_resp_4.duration,end.started,finish.started,finish.stopped,end.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,0.15894310001749545,0.15901910001412034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-012,001,2026-01-28_17h21.22.316,NESC3137_EEG_experiment,,2025.2.4,236.98423342924994,2026-01-28 17h21.22.710117 -0400,
,,,,,,,,,,,,,,,,,0.15903680003248155,0.15905960008967668,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-012,001,2026-01-28_17h21.22.316,NESC3137_EEG_experiment,,2025.2.4,236.98423342924994,2026-01-28 17h21.22.710117 -0400,
,,,,,,,,,,,,,,,,,,,0.1591093000024557,0.16442500008270144,0.16442500008270144,17.44831760006491,space,17.276010799920186,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-012,001,2026-01-28_17h21.22.316,NESC3137_EEG_experiment,,2025.2.4,236.98423342924994,2026-01-28 17h21.22.710117 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,17.44835530000273,17.45122320007067,17.45122320007067,24.692650700104423,space,7.236228200024925,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-012,001,2026-01-28_17h21.22.316,NESC3137_EEG_experiment,,2025.2.4,236.98423342924994,2026-01-28 17h21.22.710117 -0400,
0,0,0,up,0.3797387999948114,None,None,,,0,0,0,0,24.695783500093967,,,,,,,,,,,,,,,,,,,,24.693832600023597,24.695783500093967,25.26137110008858,25.256169000058435,1,25.258888800046407,25.26137110008858,25.26137110008858,25.756186100072227,25.756186100072227,25.747714600060135,up,0.3797387999948114,None,25.74775680003222,25.747777500073425,None,,,,,,,,,,,sub-012,001,2026-01-28_17h21.22.316,NESC3137_EEG_experiment,,2025.2.4,236.98423342924994,2026-01-28 17h21.22.710117 -0400,
1,0,1,up,0.3921226999955252,None,None,,,1,0,1,0,25.756186100072227,,,,,,,,,,,,,,,,,,,,25.74792780005373,25.756186100072227,26.447471800027415,26.443592500058003,1,26.445373700000346,26.447471800027415,26.447471800027415,26.936333600082435,26.936333600082435,26.935420499998145,up,0.3921226999955252,None,26.935460500069894,26.935478800092824,None,,,,,,,,,,,sub-012,001,2026-01-28_17h21.22.316,NESC3137_EEG_experiment,,2025.2.4,236.98423342924994,2026-01-28 17h21.22.710117 -0400,
2,0,2,None,,,None,,,2,0,2,0,26.936333600082435,,,,,,,,,,,,,,,,,,,,26.93559540004935,26.936333600082435,27.820317700039595,27.814574300078675,2,27.816975200083107,27.820317700039595,27.820317700039595,28.310015200055204,28.310015200055204,28.305984900100157,None,,,28.306026700069197,28.30605050001759,None,,,,,,,,,,,sub-012,001,2026-01-28_17h21.22.316,NESC3137_EEG_experiment,,2025.2.4,236.98423342924994,2026-01-28 17h21.22.710117 -0400,
3,0,3,None,,,None,,,3,0,3,0,28.310015200055204,,,,,,,,,,,,,,,,,,,,28.30653090006672,28.310015200055204,28.95219660003204,28.947711300104856,1,28.950557500007562,28.95219660003204,28.95219660003204,29.439478400046937,29.439478400046937,29.435093700070865,None,,,29.43513040000107,29.435148900025524,None,,,,,,,,,,,sub-012,001,2026-01-28_17h21.22.316,NESC3137_EEG_experiment,,2025.2.4,236.98423342924994,2026-01-28 17h21.22.710117 -0400,
4,0,4,down,0.389934099977836,None,None,,,4,0,4,0,29.439478400046937,,,,,,,,,,,,,,,,,,,,29.435270700021647,29.439478400046937,30.101661700056866,30.097617899999022,2,30.099812400061637,30.101661700056866,30.101661700056866,30.589628200046718,30.589628200046718,30.585123000084423,down,0.389934099977836,None,30.58517600002233,30.585207700030878,None,,,,,,,,,,,sub-012,001,2026-01-28_17h21.22.316,NESC3137_EEG_experiment,,2025.2.4,236.98423342924994,2026-01-28 17h21.22.710117 -0400,
5,0,5,down,0.35627069999463856,None,None,,,5,0,5,0,30.589628200046718,,,,,,,,,,,,,,,,,,,,30.585332400049083,30.589628200046718,31.131229100050405,31.12750430009328,2,31.12982400006149,31.131229100050405,31.131229100050405,31.618381000007503,31.618381000007503,31.614303300040774,down,0.35627069999463856,None,31.614343199995346,31.614359400002286,None,,,,,,,,,,,sub-012,001,2026-01-28_17h21.22.316,NESC3137_EEG_experiment,,2025.2.4,236.98423342924994,2026-01-28 17h21.22.710117 -0400,
